Word Pair	Frequency	TF-IDF
আপনি - যখন	2	1.1927
যখন - টাই	2	1.1927
যখন - হওয়া	7	1.1927
যখন - আপনি	3	1.1927
যখন - কিছু	2	1.1927
যখন - একটি	2	1.1927
যখন - বিজয়	2	1.1927
যখন - আবার	2	1.1927
করা - তখন	2	1.1805
তখন - গলা	2	1.1805
পরীক্ষা - তখন	2	1.1805
না - তখন	2	1.1805
জানাজা - তখন	2	1.1805
তখন - আসা	2	1.1805
আপনি - তখন	3	1.1805
হওয়া - তখন	2	1.1805
তখন - আপনি	2	1.1805
তখন - হওয়া	4	1.1805
তখন - আবার	2	1.1805
প্রথম - বড়	2	0.9800
কিছু - বড়	4	0.9800
বুঝ - বড়	2	0.9800
পা - বড়	2	0.9800
না - বড়	2	0.9800
ধীর - বড়	4	0.9800
তার - বড়	3	0.9800
চোখ - বড়	3	0.9800
সামনে - বড়	2	0.9800
স্পষ্ট - বড়	2	0.9800
ছোট - বড়	2	0.9800
আকারের - বড়	2	0.9800
প্রাণ - বড়	2	0.9800
মানুষ - বড়	2	0.9800
গুলো - বড়	2	0.9800
বড় - সারা	2	0.9800
বড় - শরীর	2	0.9800
বড় - নীলা	2	0.9800
বড় - একটি	2	0.9800
বড় - আলো	2	0.9800
বড় - ছড়া	2	0.9800
রাকিবুল - বড়	2	0.9800
বড় - হওয়া	2	0.9800
সবচেয়ে - বড়	2	0.9800
হঠ - করেই	2	0.9706
হঠ - হওয়া	2	0.9706
রাকিবুল - রইল	3	0.9693
দিক - রইল	3	0.9693
তাকানো - রইল	3	0.9693
রাকিবুল - বদল	2	0.7730
বদল - যাওয়া	2	0.7730
তার - বদল	2	0.7730
প্রথম - হল	2	0.7623
না - হল	2	0.7623
ধীর - হল	2	0.7623
হল - গুলো	2	0.7623
হয় - করা	3	0.6816
হয় - না	2	0.6816
জানে - হয়	2	0.6816
এবার - হয়	3	0.6816
পরীক্ষা - হয়	2	0.6816
হওয়া - হয়	3	0.6816
হয় - আবার	3	0.6816
হয় - হওয়া	3	0.6816
হয় - ব্যর্থ	2	0.6816
কোনো - সময়	2	0.5064
ধীর - জল	2	0.5000
উঠল - করা	2	0.4991
তার - রকম	2	0.4755
অন্য - রকম	2	0.4755
করা - কম	2	0.4652
খবর - আনন্দ	2	0.4399
সেট - আসল	2	0.4341
বই - পড়া	2	0.4327
বই - কেউ	2	0.4327
সহজ - আসা	2	0.2059
ভর - করা	2	0.1725
বৃষ্টি - পড়া	2	0.0000
টেবিল - চোখ	2	0.0000
গুলো - রাকিবুল	3	0.0000
গুলো - হওয়া	2	0.0000
দিক - তাকানো	6	0.0000
দিক - হওয়া	2	0.0000
দিক - আসা	2	0.0000
তাকানো - রাকিবুল	2	0.0000
তাকানো - হওয়া	2	0.0000
রাকিবুল - চোখ	5	0.0000
রাকিবুল - হওয়া	10	0.0000
রাকিবুল - আসা	5	0.0000
চোখ - হওয়া	2	0.0000
ভারী - হওয়া	3	0.0000
হওয়া - আসা	2	0.0000
তার - পরীক্ষা	3	0.0000
তার - খাতা	2	0.0000
তার - করা	8	0.0000
তার - চোখ	5	0.0000
তার - সামনে	2	0.0000
তার - সেট	2	0.0000
তার - চেষ্টা	2	0.0000
পরীক্ষা - খাতা	3	0.0000
পরীক্ষা - করা	7	0.0000
পরীক্ষা - চেষ্টা	2	0.0000
খাতা - করা	2	0.0000
টেবিল - করা	2	0.0000
উল্টো - করা	2	0.0000
করা - সেট	2	0.0000
করা - চেষ্টা	4	0.0000
করা - করা	8	0.0000
চোখ - সামনে	2	0.0000
চোখ - করা	2	0.0000
সামনে - করা	2	0.0000
সেট - করা	2	0.0000
চেষ্টা - করা	9	0.0000
খাতা - তার	2	0.0000
লাল - ভারী	2	0.0000
লাল - হওয়া	2	0.0000
তার - বিশাল	2	0.0000
তার - হওয়া	4	0.0000
রাকিবুল - কে	3	0.0000
রাকিবুল - করা	11	0.0000
কে - ফেল	2	0.0000
কে - করা	4	0.0000
ফেল - করা	5	0.0000
আগের - করা	2	0.0000
আগের - তার	2	0.0000
করা - তার	6	0.0000
তার - কথা	2	0.0000
আপনি - করো	2	0.0000
আপনি - না	6	0.0000
আপনি - হওয়া	6	0.0000
করো - হওয়া	2	0.0000
না - জন্য	2	0.0000
না - হওয়া	3	0.0000
বাবা - হাত	2	0.0000
বাবা - রাকিবুল	2	0.0000
বাবা - দেওয়া	2	0.0000
হাত - দেওয়া	2	0.0000
তার - দৃষ্টি	2	0.0000
তার - রাকিবুল	3	0.0000
তার - দেওয়া	5	0.0000
রাকিবুল - দেওয়া	3	0.0000
পরীক্ষা - ফলাফল	2	0.0000
পরীক্ষা - জানা	2	0.0000
পরীক্ষা - জানাজা	2	0.0000
পরীক্ষা - আসা	4	0.0000
ফলাফল - জানাজা	2	0.0000
ফলাফল - রাকিবুল	2	0.0000
ফলাফল - আসা	2	0.0000
জানা - জানাজা	2	0.0000
জানা - আসা	2	0.0000
না - জানাজা	2	0.0000
না - রাকিবুল	2	0.0000
না - আসা	3	0.0000
জানাজা - কী	2	0.0000
জানাজা - হবে—এই	2	0.0000
জানাজা - ভেবে	2	0.0000
জানাজা - রাকিবুল	2	0.0000
জানাজা - গলা	2	0.0000
জানাজা - শুক	2	0.0000
জানাজা - আসা	2	0.0000
রাকিবুল - গলা	3	0.0000
রাকিবুল - শুক	2	0.0000
গলা - শুক	2	0.0000
হওয়া - হওয়া	7	0.0000
হওয়া - উঠেছে	2	0.0000
সারা - শুয়ে	2	0.0000
দুপুর - শুয়ে	2	0.0000
জুড়ে - শুয়ে	2	0.0000
বিছানা - শুয়ে	2	0.0000
শুয়ে - নিজ	2	0.0000
শুয়ে - প্রশ্ন	2	0.0000
শুয়ে - করেছে—আমি	2	0.0000
শুয়ে - কি	2	0.0000
শুয়ে - সত্য	2	0.0000
শুয়ে - এতো	2	0.0000
শুয়ে - অক্ষম	2	0.0000
করেই - হওয়া	2	0.0000
বাই - একটি	2	0.0000
একটি - অদ্ভূত	2	0.0000
একটি - হওয়া	4	0.0000
অদ্ভূত - হওয়া	2	0.0000
রাকিবুল - জানাজা	2	0.0000
রাকিবুল - দিক	5	0.0000
রাকিবুল - তাকালো	2	0.0000
জানাজা - দিক	2	0.0000
দিক - তাকালো	2	0.0000
করা - কোনো	2	0.0000
করা - আসা	3	0.0000
কোনো - চেনা	2	0.0000
কোনো - আসা	2	0.0000
চেনা - আসা	2	0.0000
তার - দিক	4	0.0000
তার - আসা	3	0.0000
প্রথম - কিছু	2	0.0000
প্রথম - না	2	0.0000
প্রথম - ধীর	2	0.0000
প্রথম - গুলো	2	0.0000
প্রথম - একটি	2	0.0000
কিছু - পা	2	0.0000
কিছু - না	5	0.0000
কিছু - ধীর	2	0.0000
কিছু - তার	3	0.0000
কিছু - চোখ	2	0.0000
কিছু - মানুষ	2	0.0000
কিছু - গুলো	2	0.0000
কিছু - সারা	2	0.0000
কিছু - শরীর	2	0.0000
কিছু - নীলা	2	0.0000
কিছু - একটি	4	0.0000
কিছু - আলো	2	0.0000
কিছু - ছড়া	2	0.0000
বুঝ - পা	3	0.0000
বুঝ - না	3	0.0000
বুঝ - ধীর	2	0.0000
বুঝ - তার	4	0.0000
বুঝ - কিছু	2	0.0000
বুঝ - একটি	2	0.0000
পা - না	2	0.0000
পা - ধীর	2	0.0000
পা - তার	4	0.0000
পা - একটি	2	0.0000
না - ধীর	2	0.0000
না - তার	2	0.0000
না - চোখ	2	0.0000
না - কিছু	2	0.0000
না - গুলো	2	0.0000
না - একটি	2	0.0000
ধীর - ধীর	2	0.0000
ধীর - তার	2	0.0000
ধীর - চোখ	4	0.0000
ধীর - সামনে	2	0.0000
ধীর - স্পষ্ট	2	0.0000
ধীর - ছোট	2	0.0000
ধীর - আকারের	2	0.0000
ধীর - প্রাণ	2	0.0000
ধীর - কিছু	2	0.0000
ধীর - মানুষ	2	0.0000
ধীর - গুলো	2	0.0000
ধীর - সারা	2	0.0000
ধীর - শরীর	2	0.0000
ধীর - নীলা	2	0.0000
ধীর - একটি	2	0.0000
ধীর - আলো	2	0.0000
ধীর - ছড়া	2	0.0000
তার - ছোট	2	0.0000
তার - কিছু	2	0.0000
তার - গুলো	3	0.0000
তার - একটি	6	0.0000
সামনে - কিছু	2	0.0000
সামনে - একটি	2	0.0000
ছোট - প্রাণ	3	0.0000
ছোট - নীলা	2	0.0000
আপনি - রাকিবুল	2	0.0000
আপনি - গলা	2	0.0000
আপনি - করা	7	0.0000
হিয়ো - মৃদু	2	0.0000
